Unnamed: 0,time,position,velocity
918,0.917,0.379,-0.25
921,0.92,0.378,-0.333
925,0.924,0.377,-0.25
929,0.928,0.376,-0.25
933,0.932,0.375,-0.25
936,0.935,0.374,-0.333
940,0.939,0.373,-0.25
943,0.942,0.372,-0.333
947,0.946,0.371,-0.25
951,0.95,0.37,-0.25
955,0.954,0.369,-0.25
958,0.957,0.368,-0.333
962,0.961,0.367,-0.25
966,0.965,0.366,-0.25
970,0.969,0.365,-0.25
974,0.973,0.364,-0.25
978,0.977,0.363,-0.25
981,0.98,0.362,-0.333
985,0.984,0.361,-0.25
988,0.987,0.36,-0.333
992,0.991,0.359,-0.25
996,0.995,0.358,-0.25
1000,0.999,0.357,-0.25
1003,1.002,0.356,-0.333
1007,1.006,0.355,-0.25
1011,1.01,0.354,-0.25
1016,1.015,0.353,-0.2
1019,1.018,0.352,-0.333
1023,1.022,0.351,-0.25
1027,1.026,0.35,-0.25
1031,1.03,0.349,-0.25
1035,1.034,0.348,-0.25
1039,1.038,0.347,-0.25
1042,1.041,0.346,-0.333
1047,1.046,0.345,-0.2
1050,1.049,0.344,-0.333
1054,1.053,0.343,-0.25
1058,1.057,0.342,-0.25
1061,1.06,0.341,-0.333
1065,1.064,0.34,-0.25
1070,1.069,0.339,-0.2
1073,1.072,0.338,-0.333
1078,1.077,0.337,-0.2
1081,1.08,0.336,-0.333
1085,1.084,0.335,-0.25
1089,1.088,0.334,-0.25
1093,1.092,0.333,-0.25
1097,1.096,0.332,-0.25
1101,1.1,0.331,-0.25
1106,1.105,0.33,-0.2
1111,1.11,0.329,-0.2
1114,1.113,0.328,-0.333
1118,1.117,0.327,-0.25
1123,1.122,0.326,-0.2
1127,1.126,0.325,-0.25
1131,1.13,0.324,-0.25
1135,1.134,0.323,-0.25
1139,1.138,0.322,-0.25
1144,1.143,0.321,-0.2
1148,1.147,0.32,-0.25
1153,1.152,0.319,-0.2
1157,1.156,0.318,-0.25
1161,1.16,0.317,-0.25
1165,1.164,0.316,-0.25
1170,1.169,0.315,-0.2
1174,1.173,0.314,-0.25
1179,1.178,0.313,-0.2
1183,1.182,0.312,-0.25
1187,1.186,0.311,-0.25
1191,1.19,0.31,-0.25
1196,1.195,0.309,-0.2
1200,1.199,0.308,-0.25
1205,1.204,0.307,-0.2
1208,1.207,0.306,-0.333
1213,1.212,0.305,-0.2
1217,1.216,0.304,-0.25
1222,1.221,0.303,-0.2
1226,1.225,0.302,-0.25
1232,1.231,0.301,-0.167
1236,1.235,0.3,-0.25
1240,1.239,0.299,-0.25
1244,1.243,0.298,-0.25
1249,1.248,0.297,-0.2
1253,1.252,0.296,-0.25
1258,1.257,0.295,-0.2
1262,1.261,0.294,-0.25
1268,1.267,0.293,-0.167
1272,1.271,0.292,-0.25
1277,1.276,0.291,-0.2
1280,1.279,0.29,-0.333
1286,1.285,0.289,-0.167
1289,1.288,0.288,-0.333
1294,1.293,0.287,-0.2
1298,1.297,0.286,-0.25
1303,1.302,0.285,-0.2
1307,1.306,0.284,-0.25
1313,1.312,0.283,-0.167
1317,1.316,0.282,-0.25
1322,1.321,0.281,-0.2
1326,1.325,0.28,-0.25
1331,1.33,0.279,-0.2
1336,1.335,0.278,-0.2
1341,1.34,0.277,-0.2
1345,1.344,0.276,-0.25
1350,1.349,0.275,-0.2
1354,1.353,0.274,-0.25
1359,1.358,0.273,-0.2
1364,1.363,0.272,-0.2
1368,1.367,0.271,-0.25
1373,1.372,0.27,-0.2
1379,1.378,0.269,-0.167
1383,1.382,0.268,-0.25
1389,1.388,0.267,-0.167
1393,1.392,0.266,-0.25
1399,1.398,0.265,-0.167
1403,1.402,0.264,-0.25
1409,1.408,0.263,-0.167
1413,1.412,0.262,-0.25
1419,1.418,0.261,-0.167
1423,1.422,0.26,-0.25
1429,1.428,0.259,-0.167
1433,1.432,0.258,-0.25
1439,1.438,0.257,-0.167
1443,1.442,0.256,-0.25
1449,1.448,0.255,-0.167
1453,1.452,0.254,-0.25
1459,1.458,0.253,-0.167
1463,1.462,0.252,-0.25
1469,1.468,0.251,-0.167
