time,position,velocity
1.041,0.286,-0.333
1.045,0.285,-0.25
1.048,0.284,-0.333
1.052,0.283,-0.25
1.055,0.282,-0.333
1.058,0.281,-0.333
1.062,0.28,-0.25
1.065,0.279,-0.333
1.068,0.278,-0.333
1.072,0.277,-0.25
1.075,0.276,-0.333
1.079,0.275,-0.25
1.082,0.274,-0.333
1.086,0.273,-0.25
1.089,0.272,-0.333
1.092,0.271,-0.333
1.096,0.27,-0.25
1.099,0.269,-0.333
1.102,0.268,-0.333
1.106,0.267,-0.25
1.109,0.266,-0.333
1.113,0.265,-0.25
1.116,0.264,-0.333
1.12,0.263,-0.25
1.123,0.262,-0.333
1.127,0.261,-0.25
1.13,0.26,-0.333
1.133,0.259,-0.333
1.137,0.258,-0.25
1.141,0.257,-0.25
1.144,0.256,-0.333
1.148,0.255,-0.25
1.151,0.254,-0.333
1.154,0.253,-0.333
1.157,0.252,-0.333
1.161,0.251,-0.25
1.164,0.25,-0.333
1.168,0.249,-0.25
1.172,0.248,-0.25
1.175,0.247,-0.333
1.179,0.246,-0.25
1.183,0.245,-0.25
1.186,0.244,-0.333
1.189,0.243,-0.333
1.193,0.242,-0.25
1.196,0.241,-0.333
1.2,0.24,-0.25
1.203,0.239,-0.333
1.207,0.238,-0.25
1.21,0.237,-0.333
1.213,0.236,-0.333
1.217,0.235,-0.25
1.22,0.234,-0.333
1.223,0.233,-0.333
1.227,0.232,-0.25
1.23,0.231,-0.333
1.234,0.23,-0.25
1.237,0.229,-0.333
1.241,0.228,-0.25
1.245,0.227,-0.25
1.249,0.226,-0.25
1.253,0.225,-0.25
1.256,0.224,-0.333
1.26,0.223,-0.25
1.264,0.222,-0.25
1.268,0.221,-0.25
1.271,0.22,-0.333
1.275,0.219,-0.25
1.278,0.218,-0.333
1.281,0.217,-0.333
1.285,0.216,-0.25
1.289,0.215,-0.25
1.292,0.214,-0.333
1.296,0.213,-0.25
1.299,0.212,-0.333
1.303,0.211,-0.25
1.307,0.21,-0.25
1.311,0.209,-0.25
1.314,0.208,-0.333
1.318,0.207,-0.25
1.321,0.206,-0.333
1.325,0.205,-0.25
1.329,0.204,-0.25
1.333,0.203,-0.25
1.337,0.202,-0.25
1.342,0.201,-0.2
1.346,0.2,-0.25
1.35,0.199,-0.25
1.354,0.198,-0.25
1.357,0.197,-0.333
1.361,0.196,-0.25
1.365,0.195,-0.25
1.368,0.194,-0.333
1.372,0.193,-0.25
1.376,0.192,-0.25
1.38,0.191,-0.25
1.384,0.19,-0.25
